Ranking,Cancion,Artista,Semanas en el ranking,Streams,plataforma,semana,País
11,Ya No Somos Ni Seremos,"Luis Angel ""El Flaco""",14.0,4414434.0,youtube music,20-05-2022/26-05-2022,Mexico
12,Una Noche en Medellín,Luis R Conriquez,14.0,4225697.0,youtube music,20-05-2022/26-05-2022,Mexico
13,Moscow Mule,Shakira & Rauw Alejandro,3.0,4126417.0,youtube music,20-05-2022/26-05-2022,Mexico
14,Soy El Unico,Bad Bunny & Buscabulla,9.0,4043151.0,youtube music,20-05-2022/26-05-2022,Mexico
15,ULTRA SOLO,Natalia Lafourcade,4.0,3740284.0,youtube music,20-05-2022/26-05-2022,Mexico
16,Los Botones Azules,Grupo Firme,7.0,3727292.0,youtube music,20-05-2022/26-05-2022,Mexico
17,As It Was,Ryan Castro,9.0,3597698.0,youtube music,20-05-2022/26-05-2022,Mexico
18,Mar y Tierra,Calibre 50,8.0,3592011.0,youtube music,20-05-2022/26-05-2022,Mexico
19,Desesperados,la humildad de la musica norteña,22.0,3547595.0,youtube music,20-05-2022/26-05-2022,Mexico
20,Envolver,La Adictiva Banda San Jose De Mesillas & Luis R Conriquez,12.0,3543786.0,youtube music,20-05-2022/26-05-2022,Mexico
21,Y Si Se Quiere Ir,"Luis Angel ""El Flaco""",27.0,3399979.0,youtube music,20-05-2022/26-05-2022,Mexico
22,Me Metí En El Ruedo,Luis R Conriquez,40.0,3398829.0,youtube music,20-05-2022/26-05-2022,Mexico
23,Te Felicito,Shakira & Rauw Alejandro,5.0,3168640.0,youtube music,20-05-2022/26-05-2022,Mexico
24,Andrea,Bad Bunny & Buscabulla,3.0,3084806.0,youtube music,20-05-2022/26-05-2022,Mexico
25,Hasta la Raíz,Natalia Lafourcade,52.0,2957571.0,youtube music,20-05-2022/26-05-2022,Mexico
26,Ya Supérame (En Vivo),Grupo Firme,43.0,2901479.0,youtube music,20-05-2022/26-05-2022,Mexico
27,Jordan,Ryan Castro,15.0,2869627.0,youtube music,20-05-2022/26-05-2022,Mexico
28,Míranos Ahora,Calibre 50,11.0,2650150.0,youtube music,20-05-2022/26-05-2022,Mexico
29,Huapango Amor Ranchero,la humildad de la musica norteña,4.0,2559491.0,youtube music,20-05-2022/26-05-2022,Mexico
30,JGL,La Adictiva Banda San Jose De Mesillas & Luis R Conriquez,8.0,2537565.0,youtube music,20-05-2022/26-05-2022,Mexico
1,Ojitos Lindos,Carin Leon,3.0,575610.0,youtube music,20-05-2022/26-05-2022,Paraguay
2,Me Porto Bonito,Bad Bunny & Chencho Corleone,3.0,440468.0,youtube music,20-05-2022/26-05-2022,Paraguay
3,PROVENZA,KAROL G,5.0,259613.0,youtube music,20-05-2022/26-05-2022,Paraguay
4,Tití Me Preguntó,Bad Bunny,3.0,244639.0,youtube music,20-05-2022/26-05-2022,Paraguay
5,Moscow Mule,Bad Bunny,3.0,243310.0,youtube music,20-05-2022/26-05-2022,Paraguay
6,Desesperados,Rauw Alejandro & Chencho Corleone,24.0,210407.0,youtube music,20-05-2022/26-05-2022,Paraguay
7,Una Noche en Medellín,Cris Mj,13.0,195756.0,youtube music,20-05-2022/26-05-2022,Paraguay
8,Fuera del mercado,Danny Ocean,10.0,175516.0,youtube music,20-05-2022/26-05-2022,Paraguay
9,Party,Bad Bunny & Rauw Alejandro,3.0,170063.0,youtube music,20-05-2022/26-05-2022,Paraguay
10,MAMIII,KAROL G & Becky G,15.0,168388.0,youtube music,20-05-2022/26-05-2022,Paraguay
11,Envolver,Anitta,12.0,163744.0,youtube music,20-05-2022/26-05-2022,Paraguay
12,Me Fui de Vacaciones,Bad Bunny,3.0,143291.0,youtube music,20-05-2022/26-05-2022,Paraguay
13,Jordan,Ryan Castro,15.0,136817.0,youtube music,20-05-2022/26-05-2022,Paraguay
14,Te Felicito,Shakira & Rauw Alejandro,5.0,135593.0,youtube music,20-05-2022/26-05-2022,Paraguay
15,"Cayó La Noche (Remix) (feat. Cruz Cafuné, Abhir Hathi, Bejo & EL IMA)","La Pantera, Quevedo & Juseph",14.0,127718.0,youtube music,20-05-2022/26-05-2022,Paraguay
16,París,Morat & Duki,1.0,120770.0,youtube music,20-05-2022/26-05-2022,Paraguay
17,TUS LÁGRIMAS,Mora & Sech,6.0,119681.0,youtube music,20-05-2022/26-05-2022,Paraguay
18,ULTRA SOLO,Polima Westcoast & Pailita,3.0,115651.0,youtube music,20-05-2022/26-05-2022,Paraguay
19,Un Ratito,Bad Bunny,3.0,110309.0,youtube music,20-05-2022/26-05-2022,Paraguay
999,,,,,,,
20,Miedo de Ti,Los Mier,27.0,110228.0,youtube music,20-05-2022/26-05-2022,Paraguay
21,As It Was,Harry Styles,8.0,101149.0,youtube music,20-05-2022/26-05-2022,Paraguay
22,Pepas,Farruko,44.0,100424.0,youtube music,20-05-2022/26-05-2022,Paraguay
23,Desde Mis Ojos (Remix),Chris Lebron,2.0,96013.0,youtube music,20-05-2022/26-05-2022,Paraguay
24,Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",34.0,95342.0,youtube music,20-05-2022/26-05-2022,Paraguay
25,Ameaça,"Paulo Pires, MC Danny & Marcynho Sensação",29.0,92482.0,youtube music,20-05-2022/26-05-2022,Paraguay
26,Andrea,Bad Bunny & Buscabulla,3.0,89986.0,youtube music,20-05-2022/26-05-2022,Paraguay
27,San Lucas,Kevin Kaarl,7.0,86873.0,youtube music,20-05-2022/26-05-2022,Paraguay
28,"Bzrp Music Sessions, Vol. 48",Bizarrap & Tiago PZK,22.0,83956.0,youtube music,20-05-2022/26-05-2022,Paraguay
29,La Llevo Al Cielo,"Chencho Corleone, Chris Jedi, Anuel AA & Ñengo Flow",1.0,81841.0,youtube music,20-05-2022/26-05-2022,Paraguay
30,Me Chama de Amor (Arrochadeira Remix),O Tubarão,2.0,80088.0,youtube music,20-05-2022/26-05-2022,Paraguay
1,Ojitos Lindos,Bad Bunny & Bomba Estéreo,3.0,2372766.0,youtube music,20-05-2022/26-05-2022,Perú
2,PROVENZA,KAROL G,5.0,2362904.0,youtube music,20-05-2022/26-05-2022,Perú
3,Me Porto Bonito,Bad Bunny & Chencho Corleone,3.0,2296660.0,youtube music,20-05-2022/26-05-2022,Perú
4,Party,Bad Bunny & Rauw Alejandro,3.0,1694489.0,youtube music,20-05-2022/26-05-2022,Perú
5,Tití Me Preguntó,Bad Bunny,3.0,1652163.0,youtube music,20-05-2022/26-05-2022,Perú
6,Te Felicito,Shakira & Rauw Alejandro,5.0,1598101.0,youtube music,20-05-2022/26-05-2022,Perú
7,MAMIII,KAROL G & Becky G,16.0,1480070.0,youtube music,20-05-2022/26-05-2022,Perú
8,ULTRA SOLO,Polima Westcoast & Pailita,4.0,1314319.0,youtube music,20-05-2022/26-05-2022,Perú
9,Desesperados,Rauw Alejandro & Chencho Corleone,24.0,1243640.0,youtube music,20-05-2022/26-05-2022,Perú
